Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.0,Fri Jun 08 07:00:18 +0000 2018,0.0,1.0,0.0,"🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",61,BBC
-0.3612,Thu Jun 07 19:04:09 +0000 2018,0.143,0.857,0.0,"#OurGirl's Michelle Keegan discovers her great-great-grandmother was a suffragette, fighting for women to get the v… https://t.co/sNDxrleuGi",62,BBC
0.0,Thu Jun 07 18:00:21 +0000 2018,0.0,1.0,0.0,❤️️ Harry has been wearing a Spider-Man mask during his radiotherapy to give him 'superpowers'. https://t.co/rsyOrCzD7k,63,BBC
0.7964,Thu Jun 07 16:02:03 +0000 2018,0.0,0.53,0.47,Turns out even Shakespearean acting legends love a good chinwag. https://t.co/0DO0vG4uZg,64,BBC
0.4404,Thu Jun 07 15:36:48 +0000 2018,0.0,0.892,0.108,"RT @BBC6Music: 💪 Who do you hope to hear during our all-female #HearHer day from 5am-midnight on Friday?

Backstage in Belfast we asked @fi…",65,BBC
0.8043,Thu Jun 07 15:32:24 +0000 2018,0.086,0.544,0.369,This elderly man was struggling slowly across a busy road - but help was at hand! https://t.co/xfCtAOkL6F,66,BBC
-0.7906,Thu Jun 07 14:04:02 +0000 2018,0.259,0.741,0.0,"🐍 A Texan required 26 doses of anti-venom after he was bitten by the severed head of a rattlesnake he had killed.
👉… https://t.co/zdD1aO7POz",67,BBC
-0.4588,Thu Jun 07 13:00:43 +0000 2018,0.138,0.862,0.0,RT @BBC_ARoadshow: 'We did it for all women' - 50 years after they walked out the Dagenham women say the fight for equal pay must go on #An…,68,BBC
0.2263,Thu Jun 07 13:00:26 +0000 2018,0.0,0.921,0.079,"🎞🎬 From the Jurassic World sequel to an Oscar Wilde biopic, these films are worth making a trip to the cinema for t… https://t.co/PODFpM3UOq",69,BBC
-0.5574,Thu Jun 07 12:01:05 +0000 2018,0.242,0.659,0.099,"👊💕 If you've ever been touched by cancer, Julie's message will be important. 
https://t.co/L7Ebn2c0Ed",70,BBC
0.6531,Thu Jun 07 11:46:22 +0000 2018,0.052,0.733,0.215,"RT @BBCEarth: Are you obsessed with the ocean? 🌊
Do you go wild for whales? 🐋
Want to share your passion for presenting with the world?
Ent…",71,BBC
0.7003,Thu Jun 07 11:01:05 +0000 2018,0.0,0.784,0.216,💕🐮 Cow cuddling is the new wellness trend coming to a field near you and it's guaranteed to put you in a good moooo… https://t.co/8DJNABgCFc,72,BBC
0.0,Thu Jun 07 09:37:40 +0000 2018,0.0,1.0,0.0,Little girls don’t stay little forever. https://t.co/3yThJBbcUs,73,BBC
0.3612,Thu Jun 07 08:01:03 +0000 2018,0.0,0.828,0.172,What it's like to find out you were adopted at age 49. https://t.co/Fl1LZJOMKZ,74,BBC
0.3182,Thu Jun 07 07:28:01 +0000 2018,0.0,0.892,0.108,"The original illustrated map of The Hundred Acre Wood is expected to fetch between £100,000 - £150,000 when it goes… https://t.co/FVle3m5MCh",75,BBC
0.5106,Thu Jun 07 07:01:05 +0000 2018,0.0,0.732,0.268,❤️🐶 Some heroes don't wear capes - they wear collars. https://t.co/0YF9EdnfL1,76,BBC
0.0,Wed Jun 06 20:44:01 +0000 2018,0.0,1.0,0.0,"Tonight, award-winning writer Jeanette Winterson asks what we can learn from the Suffragette movement of a century… https://t.co/K9P2GuRy7X",77,BBC
0.3818,Wed Jun 06 20:04:00 +0000 2018,0.0,0.86,0.14,Comedian @JordBrookes joins @SusanCalman for #MrsBrightside - her brand new podcast about mental health from the po… https://t.co/nIvQ5c2NNT,78,BBC
0.0,Wed Jun 06 19:03:03 +0000 2018,0.0,1.0,0.0,"Tonight, #OurGirl actress @michkeegan uncovers some exceptional women on her family tree. 🙋💕

Who Do You Think You… https://t.co/HDwdTyTqIw",79,BBC
0.1779,Wed Jun 06 18:03:04 +0000 2018,0.122,0.718,0.16,No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M,80,BBC
0.0,Wed Jun 06 17:02:09 +0000 2018,0.0,1.0,0.0,"74 years on from D-Day, these infrared photos show WW2 bunkers in new light. 📷 
https://t.co/Dn2XKQ5jtZ https://t.co/Rqm91pIfj4",81,BBC
0.0,Wed Jun 06 16:00:01 +0000 2018,0.0,1.0,0.0,"There are more than 110,000 gang members in Honduras and they're tearing the country apart. https://t.co/ZF9M0iAvzb",82,BBC
0.3182,Wed Jun 06 13:02:05 +0000 2018,0.0,0.892,0.108,From a French novel about the Burundi genocide to a Chilean mystery: add these titles to your book shelf this month… https://t.co/T9AG8kvoPG,83,BBC
-0.5574,Wed Jun 06 12:21:20 +0000 2018,0.153,0.847,0.0,"RT @BBC_ARoadshow: Fiona discovers more about suffragette Emily Wilding Davison, who died after throwing herself in front of the King's hor…",84,BBC
-0.6523,Wed Jun 06 12:03:06 +0000 2018,0.236,0.764,0.0,"Ethan Hawke relives the time when one of his co-stars DIED on stage. #TheGNShow

https://t.co/XIG2Y8OA7m",85,BBC
0.0,Wed Jun 06 11:02:02 +0000 2018,0.0,1.0,0.0,"In 1993, Steven Spielberg's film Jurassic Park defined dinosaurs for an entire generation... but does it make scien… https://t.co/wLK4pyl9pv",86,BBC
0.0,Wed Jun 06 10:01:40 +0000 2018,0.0,1.0,0.0,"RT @BBCSpringwatch: Ever heard a beatboxing starling? 🔊 🔊

#Springwatch https://t.co/NC52eJ4MX0",87,BBC
0.4215,Wed Jun 06 08:55:39 +0000 2018,0.0,0.833,0.167,RT @bbcthree: Madame Poole has been ballet dancing for an astounding seven decades. #HearHer https://t.co/X6ltLoANl7,88,BBC
